School,Locality,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Median VCE study score,Percentage of study scores of 40 and over,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
St Brigid's College,HORSHAM,26,69.2,100,27,1.9,45793,40988,988,45793,St Brigid's College,HORSHAM,VIC,3400,Catholic,Secondary,0,School Single Entity,-36.717313,142.207946,2,Outer Regional,20631984340,21501138834,215011388,Horsham,21501,Grampians,215,North West,23190,Horsham,24408,Lowan (Western Victoria),230,Mallee
St Columba's College,ESSENDON,110,91,99,31,7,45748,54274,14274,45748,St Columba's College,ESSENDON,VIC,3040,Catholic,Secondary,0,School Single Entity,-37.757202,144.91429,0,Major Cities,20448730000,20603150229,206031502,Essendon - East,20603,Essendon,206,Melbourne - Inner,25060,Moonee Valley,22503,Essendon (Northern Metropolitan),231,Maribyrnong
St Francis Catholic College,MELTON,246,72.1,99,29,3,46054,42495,2495,46054,St Francis Catholic College,MELTON WEST,VIC,3337,Catholic,Secondary,0,School Head Campus,-37.677246,144.550411,0,Major Cities,20408350000,21304135810,213041358,Melton West,21304,Melton - Bacchus Marsh,213,Melbourne - West,24650,Melton,24808,Melton (Western Victoria),219,Hawke
St Francis Xavier College,BEACONSFIELD,327,72,99,27,3.6,40621,54578,14578,40621,St Francis Xavier College,BEACONSFIELD,VIC,3807,Catholic,Secondary,0,School Head Campus,-38.051525,145.373328,0,Major Cities,20103150000,21201154604,212011546,Beaconsfield - Officer,21201,Cardinia,212,Melbourne - South East,21450,Cardinia,21005,Berwick (South-Eastern Metropolitan),227,La Trobe
St Helena Secondary College,ELTHAM,205,76.2,96,29,5.3,45510,46625,6625,45510,St Helena Secondary College,ELTHAM NORTH,VIC,3095,Government,Secondary,0,School Single Entity,-37.686582,145.139842,0,Major Cities,20028900000,20901119736,209011197,Greensborough,20901,Banyule,209,Melbourne - North East,20660,Banyule,22402,Eltham (North-Eastern Metropolitan),225,Jagajaga
St John's Regional College,DANDENONG,74,85.3,97,27,3,45932,41041,1041,45932,St John's Regional College,DANDENONG,VIC,3175,Catholic,Secondary,0,School Single Entity,-37.990229,145.226256,0,Major Cities,20223820000,21204156341,212041563,Dandenong - North,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,22205,Dandenong (South-Eastern Metropolitan),204,Bruce
St Kevin's College,TOORAK,21,97.4,100,35,23.7,45848,56108,16108,45848,St Kevin's College,TOORAK,VIC,3142,Catholic,Combined,0,School Head Campus,-37.8353971,145.0246967,0,Major Cities,20631955270,20606113806,206061138,Toorak,20606,Stonnington - West,206,Melbourne - Inner,26350,Stonnington,24606,Malvern (Southern Metropolitan),220,Higgins
St Leonard's College,BRIGHTON EAST,24,95.9,100,34,15.6,46173,41113,1113,46173,St Leonard's College,BRIGHTON EAST,VIC,3187,Independent,Combined,0,School Single Entity,-37.928631,145.007554,0,Major Cities,20631928130,20801117032,208011170,Brighton East,20801,Bayside,208,Melbourne - Inner South,20910,Bayside (Vic.),21206,Brighton (Southern Metropolitan),217,Goldstein
St Margaret's School,BERWICK,5,93.1,97,33,12.8,45872,41127,1127,45872,St Margaret's School,EAST GEELONG,VIC,3219,Catholic,Primary,0,School Single Entity,-38.164624,144.373926,0,Major Cities,20245970000,20302103930,203021039,Geelong,20302,Geelong,203,Geelong,22750,Greater Geelong,23108,Geelong (Western Victoria),210,Corio
St Mary MacKillop College,SWAN HILL,110,69.4,100,29,5,46085,44252,4252,46085,St Mary MacKillop College,SWAN HILL,VIC,3585,Catholic,Secondary,0,School Head Campus,-35.341915,143.556795,2,Outer Regional,20631990460,21503140401,215031404,Swan Hill,21503,Murray River - Swan Hill,215,North West,26610,Swan Hill,25604,Murray Plains (Northern Victoria),230,Mallee
St Mary's College,SEYMOUR,48,-,-,36,37.5,45660,48878,8878,45660,St Mary's College,SEYMOUR,VIC,3660,Catholic,Combined,0,School Single Entity,-37.019895,145.140924,1,Inner Regional,20416260000,20401105905,204011059,Seymour,20401,Upper Goulburn Valley,204,Hume,24850,Mitchell,22704,Euroa (Northern Victoria),236,Nicholls
St Michael's Grammar School,ST KILDA,19,93.1,100,33,13.1,46163,41183,1183,46163,St Michael's Grammar School,ST KILDA,VIC,3182,Independent,Combined,0,School Single Entity,-37.85955,144.991742,0,Major Cities,20527120000,20605151307,206051513,St Kilda - Central,20605,Port Phillip,206,Melbourne - Inner,25900,Port Phillip,26906,Prahran (Southern Metropolitan),229,Macnamara
St Monica's College,EPPING,390,76.4,100,29,3.8,40615,53639,13639,40615,St Monica's College,EPPING,VIC,3076,Catholic,Secondary,0,School Head Campus,-37.655706,145.032058,0,Major Cities,20616300000,20904143212,209041432,Epping - South,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,28303,Thomastown (Northern Metropolitan),237,Scullin
St Patrick's College,BALLARAT,165,63.7,98,28,5.3,45634,54104,14104,45634,St Patrick's College,BALLARAT,VIC,3350,Catholic,Secondary,0,School Single Entity,-37.559711,143.831558,1,Inner Regional,20631984730,20101100206,201011002,Ballarat,20101,Ballarat,201,Ballarat,20570,Ballarat,28508,Wendouree (Western Victoria),202,Ballarat
St Peter's College,CRANBOURNE,256,74.6,98,26,2.3,46087,54579,14579,46087,St Peter's College,CRANBOURNE,VIC,3977,Catholic,Secondary,0,School Head Campus,-38.108411,145.256866,0,Major Cities,20122490000,21203130417,212031304,Cranbourne West,21203,Casey - South,212,Melbourne - South East,21610,Casey,22005,Cranbourne (South-Eastern Metropolitan),221,Holt
St Thomas Aquinas College,TYNONG,5,54.5,100,26,0,46346,56096,16096,46346,St Thomas Aquinas College,TYNONG,VIC,3813,Independent,Combined,0,School Single Entity,-38.0829561,145.622793,1,Inner Regional,20100992000,21201154711,212011547,Bunyip - Garfield,21201,Cardinia,212,Melbourne - South East,21450,Cardinia,25701,Narracan (Eastern Victoria),227,La Trobe
Star of the Sea College,BRIGHTON,67,95.7,100,34,18.8,45675,41272,1272,45675,Star of the Sea College,BRIGHTON,VIC,3186,Catholic,Secondary,0,School Single Entity,-37.896734,144.99678,0,Major Cities,20631987420,20801116935,208011169,Brighton (Vic.),20801,Bayside,208,Melbourne - Inner South,20910,Bayside (Vic.),21206,Brighton (Southern Metropolitan),217,Goldstein
Staughton College,MELTON SOUTH,183,53.4,95,25,1.5,45336,56432,16432,45336,Staughton College,MELTON SOUTH,VIC,3338,Government,Secondary,0,School Single Entity,-37.708271,144.567745,0,Major Cities,20631943850,21304157811,213041578,Melton South - Weir Views,21304,Melton - Bacchus Marsh,213,Melbourne - West,24650,Melton,24808,Melton (Western Victoria),219,Hawke
Stawell Secondary College,STAWELL,68,22.9,91,23,2.4,45511,50597,10597,45511,Stawell Secondary College,STAWELL,VIC,3380,Government,Secondary,0,School Single Entity,-37.061954,142.789787,1,Inner Regional,20518820000,21501139225,215011392,Stawell,21501,Grampians,215,North West,25810,Northern Grampians,24408,Lowan (Western Victoria),230,Mallee
Strathmore Secondary College,STRATHMORE,74,79.7,99,30,5.9,45469,47998,7998,45469,Strathmore Secondary College,STRATHMORE,VIC,3041,Government,Secondary,0,School Single Entity,-37.73695,144.926643,0,Major Cities,20451130000,21001123115,210011231,Strathmore,21001,Keilor,210,Melbourne - North West,25060,Moonee Valley,22503,Essendon (Northern Metropolitan),231,Maribyrnong
Sunbury College,SUNBURY,185,45.4,100,27,1.3,45470,55054,15054,45470,Sunbury College,SUNBURY,VIC,3429,Government,Secondary,0,School Single Entity,-37.574206,144.728687,0,Major Cities,20303100000,21004124011,210041240,Sunbury,21004,Sunbury,210,Melbourne - North West,23270,Hume,28007,Sunbury (Western Metropolitan),219,Hawke
Sunshine College,SUNSHINE WEST,112,74.7,98,26,1.5,45529,6190,15519,45529,Sunshine College,SUNSHINE WEST,VIC,3020,Government,Secondary,0,School Head Campus,-37.79274078,144.8135929,0,Major Cities,20087160000,21301133826,213011338,Sunshine West,21301,Brimbank,213,Melbourne - West,21180,Brimbank,24307,Laverton (Western Metropolitan),214,Fraser
Suzanne Cory High School,WERRIBEE,-,99.6,100,34,19,50301,68201,28201,50301,Suzanne Cory High School,WERRIBEE,VIC,3030,Government,Secondary,0,School Single Entity,-37.8939,144.701,0,Major Cities,20631940480,21305136823,213051368,Werribee - South,21305,Wyndham,213,Melbourne - West,27260,Wyndham,28607,Werribee (Western Metropolitan),228,Lalor
Swan Hill College,SWAN HILL,189,65.3,99,26,1.8,45540,51413,11413,45540,Swan Hill College,SWAN HILL,VIC,3585,Government,Secondary,0,School Head Campus,-35.33522773,143.5528519,2,Outer Regional,20565050000,21503140407,215031404,Swan Hill,21503,Murray River - Swan Hill,215,North West,26610,Swan Hill,25604,Murray Plains (Northern Victoria),230,Mallee
Swifts Creek P-12 School,SWIFTS CREEK,13,33.3,100,29,7.1,45623,68794,28794,45623,Swifts Creek P-12 School,SWIFTS CREEK,VIC,3896,Government,Combined,0,School Head Campus,-37.26684449,147.7240342,2,Outer Regional,20631990680,20502108211,205021082,Bruthen - Omeo,20502,Gippsland - East,205,Latrobe - Gippsland,22110,East Gippsland,23201,Gippsland East (Eastern Victoria),216,Gippsland
Sydney Road Community School,BRUNSWICK,13,25,92,22,0,45471,46268,6268,45471,Sydney Road Community School,BRUNSWICK,VIC,3056,Government,Secondary,0,School Head Campus,-37.771835,144.9623304,0,Major Cities,20461690000,20601149620,206011496,Brunswick - South,20601,Brunswick - Coburg,206,Melbourne - Inner,24700,Merri-bek,21403,Brunswick (Northern Metropolitan),239,Wills
Tallangatta Secondary College,TALLANGATTA,62,24.1,100,27,0,45472,51650,11650,45472,Tallangatta Secondary College,TALLANGATTA,VIC,3700,Government,Secondary,0,School Single Entity,-36.220441,147.172667,2,Outer Regional,20567280000,20403107214,204031072,Towong,20403,Wodonga - Alpine,204,Hume,26670,Towong,20604,Benambra (Northern Victoria),223,Indi
Tarneit Senior College,TARNEIT,212,67.3,98,23,0.7,50459,69564,29564,50459,Tarneit Senior College,TARNEIT,VIC,3029,Government,Secondary,0,School Single Entity,-37.83330658,144.6794225,0,Major Cities,20631956690,21305158331,213051583,Tarneit - Central,21305,Wyndham,213,Melbourne - West,27260,Wyndham,28207,Tarneit (Western Metropolitan),228,Lalor
Templestowe College,TEMPLESTOWE LOWER,174,50,98,28,7,45560,48425,8425,45560,Templestowe College,TEMPLESTOWE LOWER,VIC,3107,Government,Secondary,0,School Single Entity,-37.76747383,145.1218286,0,Major Cities,20364280000,20702116015,207021160,Templestowe Lower,20702,Manningham - West,207,Melbourne - Inner East,24210,Manningham,21502,Bulleen (North-Eastern Metropolitan),234,Menzies
The Geelong College,NEWTOWN,36,88.3,100,33,14.5,46159,57867,17867,46159,The Geelong College,NEWTOWN,VIC,3220,Independent,Combined,0,School Head Campus,-38.15241839,144.3400898,0,Major Cities,20249980000,20302104619,203021046,Newtown (Vic.),20302,Geelong,203,Geelong,22750,Greater Geelong,23108,Geelong (Western Victoria),210,Corio
The Grange P-12 College,HOPPERS CROSSING,139,54.9,95,25,3.2,45526,56057,16057,45526,The Grange P-12 College,HOPPERS CROSSING,VIC,3029,Government,Combined,0,School Single Entity,-37.8581346,144.6749381,0,Major Cities,20627530000,21305136109,213051361,Hoppers Crossing - North,21305,Wyndham,213,Melbourne - West,27260,Wyndham,28207,Tarneit (Western Metropolitan),228,Lalor
The King David School,ARMADALE,92,94.7,100,34,18.3,46247,42450,2450,46247,The King David School,ARMADALE,VIC,3143,Independent,Combined,0,School Head Campus,-37.858226,145.010495,0,Major Cities,20631988020,20606113628,206061136,Prahran - Windsor,20606,Stonnington - West,206,Melbourne - Inner,26350,Stonnington,26906,Prahran (Southern Metropolitan),220,Higgins
The Knox School,WANTIRNA SOUTH,6,92.3,100,33,7.4,46274,43430,3430,46274,The Knox School,WANTIRNA SOUTH,VIC,3152,Independent,Combined,0,School Single Entity,-37.865467,145.219198,0,Major Cities,20336750000,21101126042,211011260,Wantirna South,21101,Knox,211,Melbourne - Outer East,23670,Knox,27405,Rowville (South-Eastern Metropolitan),201,Aston
The Lakes South Morang College,SOUTH MORANG,52,37.9,100,30,2.7,45578,64738,24738,45578,The Lakes South Morang College,SOUTH MORANG,VIC,3752,Government,Combined,0,School Head Campus,-37.634598,145.076703,0,Major Cities,20607492000,20904143514,209041435,South Morang - North,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,25002,Mill Park (North-Eastern Metropolitan),237,Scullin
Thomas Carr College,TARNEIT,53,85.5,100,26,2,46102,54615,14615,46102,Thomas Carr College,TARNEIT,VIC,3029,Catholic,Secondary,0,School Single Entity,-37.847676,144.702055,0,Major Cities,21313170000,21305158341,213051583,Tarneit - Central,21305,Wyndham,213,Melbourne - West,27260,Wyndham,28207,Tarneit (Western Metropolitan),228,Lalor
Thomastown Secondary College,THOMASTOWN,13,63.8,89,24,1.4,45473,46280,6280,45473,Thomastown Secondary College,THOMASTOWN,VIC,3074,Government,Secondary,0,School Single Entity,-37.679045,145.00275,0,Major Cities,20615070000,20904122349,209041223,Thomastown,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,28303,Thomastown (Northern Metropolitan),237,Scullin
Thornbury High School,THORNBURY,111,81.7,93,30,6,45533,54803,14803,45533,Thornbury High School,THORNBURY,VIC,3071,Government,Secondary,0,School Single Entity,-37.75649469,145.0252135,0,Major Cities,20144020000,20602111224,206021112,Thornbury,20602,Darebin - South,206,Melbourne - Inner,21890,Darebin,26203,Northcote (Northern Metropolitan),208,Cooper
Timboon P-12 School,TIMBOON,51,53.3,93,24,1.6,45321,54793,14793,45321,Timboon P-12 School,TIMBOON,VIC,3268,Government,Combined,0,School Single Entity,-38.48365065,142.9754831,2,Outer Regional,20138930000,21703147513,217031475,Corangamite - South,21703,Colac - Corangamite,217,Warrnambool and South West,21830,Corangamite,26808,Polwarth (Western Victoria),238,Wannon
Tintern Grammar,RINGWOOD EAST,29,92.4,99,34,17.3,46175,41285,1285,46175,Tintern Grammar,RINGWOOD EAST,VIC,3135,Independent,Combined,0,School Single Entity,-37.8160964,145.2564649,0,Major Cities,20391150000,21103126733,211031267,Ringwood East,21103,Maroondah,211,Melbourne - Outer East,24410,Maroondah,27202,Ringwood (North-Eastern Metropolitan),211,Deakin
Toorak College,MOUNT ELIZA,6,100,100,34,14.8,46177,41286,1286,46177,Toorak College,MOUNT ELIZA,VIC,3930,Independent,Combined,0,School Single Entity,-38.17324124,145.0932297,0,Major Cities,20498350000,21402138134,214021381,Mount Eliza,21402,Mornington Peninsula,214,Mornington Peninsula,25340,Mornington Peninsula,25301,Mornington (Eastern Victoria),212,Dunkley
Trafalgar High School,TRAFALGAR,79,53.1,99,27,5.9,45474,51896,11896,45474,Trafalgar High School,TRAFALGAR,VIC,3824,Government,Secondary,0,School Single Entity,-38.214568,146.158302,1,Inner Regional,20037480000,20501107821,205011078,Trafalgar (Vic.),20501,Baw Baw,205,Latrobe - Gippsland,20830,Baw Baw,25701,Narracan (Eastern Victoria),235,Monash
Traralgon College,TRARALGON,106,35.1,98,25,0.9,40588,52005,12005,40588,Traralgon College,TRARALGON,VIC,3844,Government,Secondary,0,School Head Campus,-38.19142459,146.5194895,1,Inner Regional,20349900000,20504149415,205041494,Traralgon - West,20504,Latrobe Valley,205,Latrobe - Gippsland,23810,Latrobe (Vic.),25401,Morwell (Eastern Victoria),216,Gippsland
Trinity College Colac,COLAC,101,57.3,99,28,1.3,45710,41054,1054,45710,Trinity College Colac,COLAC,VIC,3250,Catholic,Secondary,0,School Single Entity,-38.35120596,143.5787435,1,Inner Regional,20132700000,21703147202,217031472,Colac,21703,Colac - Corangamite,217,Warrnambool and South West,21750,Colac Otway,26808,Polwarth (Western Victoria),238,Wannon
Tyrrell College,SEA LAKE,28,62.5,75,28,3.3,45203,54804,14804,45203,Tyrrell College,SEA LAKE,VIC,3533,Government,Combined,0,School Single Entity,-35.509276,142.853519,2,Outer Regional,20094560000,21503140014,215031400,Buloke,21503,Murray River - Swan Hill,215,North West,21270,Buloke,24904,Mildura (Northern Victoria),230,Mallee
University High School,PARKVILLE,62,88.2,97,31,9,45475,48032,8032,45475,University High School,PARKVILLE,VIC,3052,Government,Secondary,0,School Head Campus,-37.797009,144.955664,0,Major Cities,20400900000,20604112411,206041124,Parkville,20604,Melbourne City,206,Melbourne - Inner,24600,Melbourne,24703,Melbourne (Northern Metropolitan),233,Melbourne
Upper Yarra Secondary College,YARRA JUNCTION,111,64.1,94,27,2.1,45477,46331,6331,45477,Upper Yarra Secondary College,YARRA JUNCTION,VIC,3797,Government,Secondary,0,School Single Entity,-37.79209352,145.623933,1,Inner Regional,20647050000,21105128610,211051286,Yarra Valley,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22304,Eildon (Northern Victoria),206,Casey
Upwey High School,UPWEY,95,51.9,92,27,1.5,45478,49045,9045,45478,Upwey High School,UPWEY,VIC,3158,Government,Secondary,0,School Single Entity,-37.90323624,145.3342897,0,Major Cities,20650300000,21105128408,211051284,Upwey - Tecoma,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,25101,Monbulk (Eastern Victoria),206,Casey
Vermont Secondary College,VERMONT,89,78.1,100,32,9.8,45479,48406,8406,45479,Vermont Secondary College,VERMONT,VIC,3133,Government,Secondary,0,School Single Entity,-37.842864,145.199846,0,Major Cities,20599530000,21104127213,211041272,Vermont,21104,Whitehorse - East,211,Melbourne - Outer East,26980,Whitehorse,23402,Glen Waverley (North-Eastern Metropolitan),211,Deakin
Victory Christian College,STRATHDALE,67,63,100,29,7.3,46327,55347,15347,46327,Victory Christian College,KENNINGTON,VIC,3550,Independent,Combined,0,School Single Entity,-36.782625,144.313456,1,Inner Regional,20211200000,20201102025,202011020,East Bendigo - Kennington,20201,Bendigo,202,Bendigo,22620,Greater Bendigo,20704,Bendigo East (Northern Victoria),203,Bendigo
Victory Lutheran College,WEST WODONGA,78,49.2,100,28,1.8,46323,55322,15322,46323,Victory Lutheran College,WEST WODONGA,VIC,3690,Independent,Combined,0,School Single Entity,-36.116752,146.846422,1,Inner Regional,20631919130,20403107322,204031073,West Wodonga,20403,Wodonga - Alpine,204,Hume,27170,Wodonga,20604,Benambra (Northern Victoria),223,Indi
Viewbank College,VIEWBANK,114,80.3,98,31,7,45550,55527,15527,45550,Viewbank College,Viewbank,VIC,3084,Government,Secondary,0,School Single Entity,-37.741226,145.086953,0,Major Cities,20020580000,20901120305,209011203,Viewbank - Yallambie,20901,Banyule,209,Melbourne - North East,20660,Banyule,23802,Ivanhoe (North-Eastern Metropolitan),225,Jagajaga
Village High School,WONTHAGGI,12,25,100,I/D,I/D,52861,86560,86559,52861,Village High School,WONTHAGGI,VIC,3992,Independent,Secondary,0,School Head Campus,-38.5292,145.5588,1,Inner Regional,20034380000,20503109306,205031093,Wonthaggi - Inverloch,20503,Gippsland - South West,205,Latrobe - Gippsland,20740,Bass Coast,20301,Bass (Eastern Victoria),235,Monash
Virtual School Victoria,THORNBURY,113,34.4,90,27,3.3,45322,56379,16379,45322,Virtual School Victoria,THORNBURY,VIC,3071,Government,Combined,0,School Head Campus,-37.76204,145.025701,0,Major Cities,20141980000,20602111201,206021112,Thornbury,20602,Darebin - South,206,Melbourne - Inner,21890,Darebin,26203,Northcote (Northern Metropolitan),208,Cooper
Wallan Secondary College,WALLAN,115,34.1,93,22,0,45532,66627,26627,45532,Wallan Secondary College,WALLAN,VIC,3756,Government,Secondary,0,School Single Entity,-37.41944661,144.9803616,0,Major Cities,20417762000,20904122416,209041224,Wallan,20904,Whittlesea - Wallan,209,Melbourne - North East,24850,Mitchell,23903,Kalkallo (Northern Metropolitan),232,McEwen
Wangaratta High School,WANGARATTA,85,54.5,89,26,1.9,45483,51573,11573,45483,Wangaratta High School,WANGARATTA,VIC,3676,Government,Secondary,0,School Single Entity,-36.344064,146.309332,1,Inner Regional,20570340000,20402106603,204021066,Wangaratta,20402,Wangaratta - Benalla,204,Hume,26700,Wangaratta,26404,Ovens Valley (Northern Victoria),223,Indi
Wantirna College,WANTIRNA,181,64.8,100,29,3.6,45484,48980,8980,45484,Wantirna College,WANTIRNA,VIC,3152,Government,Secondary,0,School Single Entity,-37.857785,145.230563,0,Major Cities,20337520000,21101125937,211011259,Wantirna,21101,Knox,211,Melbourne - Outer East,23670,Knox,20402,Bayswater (North-Eastern Metropolitan),201,Aston
Warragul Regional College,WARRAGUL,106,23.3,97,24,0,45563,51874,11874,45563,Warragul Regional College,WARRAGUL,VIC,3820,Government,Secondary,0,School Single Entity,-38.16519591,145.9254852,1,Inner Regional,20631985840,20501107924,205011079,Warragul,20501,Baw Baw,205,Latrobe - Gippsland,20830,Baw Baw,25701,Narracan (Eastern Victoria),235,Monash
Warrandyte High School,WARRANDYTE,57,52.9,100,26,0.8,45486,48263,8263,45486,Warrandyte High School,WARRANDYTE,VIC,3113,Government,Secondary,0,School Single Entity,-37.74707962,145.1845816,0,Major Cities,20357110000,21102126208,211021262,Warrandyte - Wonga Park,21102,Manningham - East,211,Melbourne - Outer East,24210,Manningham,28402,Warrandyte (North-Eastern Metropolitan),234,Menzies
Warrnambool College,WARRNAMBOOL,222,47.2,95,26,1.5,45549,49877,9877,45549,Warrnambool College,WARRNAMBOOL,VIC,3280,Government,Secondary,0,School Head Campus,-38.37671595,142.4996761,1,Inner Regional,20573830000,21704147902,217041479,Warrnambool - North,21704,Warrnambool,217,Warrnambool and South West,26730,Warrnambool,27808,South-West Coast (Western Victoria),238,Wannon
Wedderburn College,WEDDERBURN,29,50,100,20,0,45323,50934,10934,45323,Wedderburn College,WEDDERBURN,VIC,3518,Government,Combined,0,School Single Entity,-36.416952,143.61714,2,Outer Regional,20351810000,20203103321,202031033,Loddon,20203,Loddon - Elmore,202,Bendigo,23940,Loddon,27308,Ripon (Western Victoria),230,Mallee
Wellington Secondary College,MULGRAVE,77,78.8,99,29,4.7,45487,54992,14992,45487,Wellington Secondary College,MULGRAVE,VIC,3170,Government,Secondary,0,School Single Entity,-37.934656,145.17022,0,Major Cities,20433570000,21205132504,212051325,Mulgrave,21205,Monash,212,Melbourne - South East,24970,Monash,25505,Mulgrave (South-Eastern Metropolitan),222,Hotham
Werribee Secondary College,WERRIBEE,155,82.5,95,28,5.2,45488,46250,6250,45488,Werribee Secondary College,WERRIBEE,VIC,3030,Government,Secondary,0,School Single Entity,-37.90552851,144.6689218,0,Major Cities,20630070000,21305136821,213051368,Werribee - South,21305,Wyndham,213,Melbourne - West,27260,Wyndham,28607,Werribee (Western Metropolitan),228,Lalor
Westall Secondary College,CLAYTON SOUTH,87,59,96,24,3,45490,46234,6234,45490,Westall Secondary College,CLAYTON SOUTH,VIC,3169,Government,Secondary,0,School Head Campus,-37.94021554,145.1361047,0,Major Cities,20313270000,21204131030,212041310,Clayton South,21204,Dandenong,212,Melbourne - South East,23430,Kingston (Vic.),21905,Clarinda (South-Eastern Metropolitan),222,Hotham
Whitefriars College,DONVALE,89,79.8,99,30,7,45865,48789,8789,45865,Whitefriars College,DONVALE,VIC,3111,Catholic,Secondary,0,School Single Entity,-37.7918,145.199541,0,Major Cities,20360550000,21102126105,211021261,Donvale - Park Orchards,21102,Manningham - East,211,Melbourne - Outer East,24210,Manningham,28402,Warrandyte (North-Eastern Metropolitan),234,Menzies
Whittlesea Secondary College,WHITTLESEA,104,74.6,97,24,1.7,45348,56071,16071,45348,Whittlesea Secondary College,WHITTLESEA,VIC,3757,Government,Secondary,0,School Single Entity,-37.5150463,145.1201751,0,Major Cities,20606530000,20904122507,209041225,Whittlesea,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,28804,Yan Yean (Northern Victoria),232,McEwen
Williamstown High School,WILLIAMSTOWN,122,76.8,99,31,10.3,40427,46213,6213,40427,Williamstown High School,WILLIAMSTOWN,VIC,3016,Government,Secondary,0,School Head Campus,-37.862753,144.895131,0,Major Cities,20283310000,21302134611,213021346,Williamstown,21302,Hobsons Bay,213,Melbourne - West,23110,Hobsons Bay,28707,Williamstown (Western Metropolitan),215,Gellibrand
Woodleigh School,LANGWARRIN SOUTH,23,84.1,98,31,6.5,46391,68672,28672,46391,Woodleigh School,LANGWARRIN SOUTH,VIC,3911,Independent,Combined,0,School Head Campus,-38.192609,145.173558,0,Major Cities,20164990000,21401137426,214011374,Langwarrin,21401,Frankston,214,Mornington Peninsula,22170,Frankston,23601,Hastings (Eastern Victoria),212,Dunkley
Woodmans Hill Secondary College,BALLARAT EAST,83,45.7,91,27,5.3,52702,6181,86076,52702,Woodmans Hill Secondary College,BALLARAT EAST,VIC,3350,Government,Secondary,0,School Single Entity,-37.559117,143.893784,1,Inner Regional,20008870000,20101148112,201011481,Ballarat East - Warrenheip,20101,Ballarat,201,Ballarat,20570,Ballarat,22608,Eureka (Western Victoria),202,Ballarat
Wycheproof P-12 College,WYCHEPROOF,17,50,100,30,2.6,45567,50938,10938,45567,Wycheproof P-12 College,WYCHEPROOF,VIC,3527,Government,Combined,0,School Single Entity,-36.075704,143.229098,2,Outer Regional,20094110000,21503140006,215031400,Buloke,21503,Murray River - Swan Hill,215,North West,21270,Buloke,24904,Mildura (Northern Victoria),230,Mallee
Xavier College,KEW,41,97.9,100,34,14.9,45696,41298,1298,45696,Xavier College,KEW,VIC,3101,Catholic,Combined,0,School Head Campus,-37.813858,145.031105,0,Major Cities,20074690000,20701152119,207011521,Kew - South,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,24006,Kew (Southern Metropolitan),226,Kooyong
Yarram Secondary College,YARRAM,62,36.8,87,25,1.4,45493,52220,12220,45493,Yarram Secondary College,YARRAM,VIC,3971,Government,Secondary,0,School Single Entity,-38.566575,146.68546,1,Inner Regional,20577760000,20505110414,205051104,Yarram,20505,Wellington,205,Latrobe - Gippsland,26810,Wellington,23301,Gippsland South (Eastern Victoria),216,Gippsland
Yarrawonga College P-12,YARRAWONGA,71,55.3,100,28,1.3,45608,68788,28788,45608,Yarrawonga College P-12,YARRAWONGA,VIC,3730,Government,Combined,0,School Head Campus,-36.02144074,146.0066682,1,Inner Regional,20420630000,21602141408,216021414,Yarrawonga,21602,Moira,216,Shepparton,24900,Moira,26404,Ovens Valley (Northern Victoria),236,Nicholls
Yea High School,YEA,43,43.2,86,25,0,45494,45449,5449,45494,Yea High School,YEA,VIC,3717,Government,Secondary,0,School Head Campus,-37.215011,145.408536,1,Inner Regional,20510580000,20401106206,204011062,Yea,20401,Upper Goulburn Valley,204,Hume,25620,Murrindindi,22304,Eildon (Northern Victoria),223,Indi
Yeshivah College,ST KILDA EAST,52,94.7,100,37,25.3,46215,41301,1301,46215,Yeshivah College,ST KILDA EAST,VIC,3183,Independent,Combined,0,School Single Entity,-37.867922,144.999941,0,Major Cities,20189500000,20802117751,208021177,Caulfield - North,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,21806,Caulfield (Southern Metropolitan),229,Macnamara
Yesodei HaTorah College,ORMOND,24,62.5,100,28,7.9,46376,57945,17945,46376,Yesodei HaTorah College,ELWOOD,VIC,3184,Independent,Combined,0,School Head Campus,-37.873227,144.983491,0,Major Cities,20528520000,20605112931,206051129,Elwood,20605,Port Phillip,206,Melbourne - Inner,25900,Port Phillip,21206,Brighton (Southern Metropolitan),229,Macnamara
